date,category,description,amount
2024-10-01,Food,Grocery Store,75.50
2024-10-01,Transport,Uber to work,15.00
2024-10-02,Food,Restaurant lunch,32.00
2024-10-02,Shopping,Clothing store,120.00
2024-10-03,Food,Coffee shop,6.50
2024-10-03,Transport,Gas station,45.00
2024-10-04,Entertainment,Movie tickets,28.00
2024-10-04,Food,Grocery Store,92.30
2024-10-05,Transport,Uber to airport,55.00
2024-10-05,Shopping,Electronics,250.00
2024-10-06,Food,Restaurant dinner,68.00
2024-10-06,Utilities,Electricity bill,135.00
2024-10-07,Food,Coffee shop,7.50
2024-10-07,Entertainment,Concert ticket,85.00
2024-10-08,Food,Grocery Store,108.20
2024-10-08,Transport,Parking fee,12.00
2024-10-09,Shopping,Book store,42.00
2024-10-09,Food,Fast food,15.50
2024-10-10,Health,Pharmacy,25.00
2024-10-10,Transport,Uber to friend,18.00
2024-10-11,Food,Restaurant brunch,45.00
2024-10-11,Entertainment,Streaming service,14.99
2024-10-12,Food,Grocery Store,78.90
2024-10-12,Shopping,Gift for friend,60.00
2024-10-13,Transport,Subway ticket,5.50
2024-10-13,Food,Coffee shop,6.00
2024-10-14,Utilities,Internet bill,65.00
2024-10-14,Food,Restaurant dinner, 82.00
2024-10-15,Transport,Gas station,50.00
2024-10-15,Food,Grocery Store,95.40
2024-10-16,Shopping,Shoe store,140.00
2024-10-16,Entertainment,Game purchase,59.99
2024-10-17,Food,Coffee shop,7.00
2024-10-17,Health,Gym membership,45.00
2024-10-18,Transport,Uber to work,16.50
2024-10-18,Food,Restaurant lunch,38.00
2024-10-19,Shopping,Home decor,88.00
2024-10-19,Food,Grocery Store,102.50
2024-10-20,Entertainment,Theater ticket,72.00
2024-10-20,Food,Coffee shop,8.50
2024-10-21,Transport,Taxi to airport,65.00
2024-10-21,Shopping,Supermarket,55.00
2024-10-22,Food,Restaurant dinner,95.00
2024-10-22,Utilities,Water bill,42.00
2024-10-23,Food,Grocery Store,87.20
2024-10-23,Entertainment,Museum ticket,25.00
2024-10-24,Transport,Gas station,48.00
2024-10-24,Food,Coffee shop,6.50
2024-10-25,Shopping,Book store,35.00
2024-10-25,Food,Restaurant lunch,42.00
